Signal,Attention,Meditation,delta,theta,alphaL,alphaH,betaL,betaH,gammaL,gammaM,Label
0,64,54,5668,14516,14259,32667,8565,6090,5681,23819,Down
0,53,38,23219,57605,19159,6862,4244,3985,10269,4533,Down
0,38,29,47410,171590,43761,21527,7396,7964,3013,4894,Down
0,40,29,615806,50793,2307,20392,11030,11483,9786,13412,Down
0,44,35,3365,15559,85580,15448,8917,18045,8737,3306,Down
0,56,50,16105,11571,33584,13554,6443,11109,10659,10326,Down
0,77,53,25842,40131,24907,4695,7077,16225,15283,6583,Down
0,80,61,18695,18606,9901,14392,5125,10674,7977,7069,Down
0,75,53,7463,32940,38351,10747,2794,6884,9407,16552,Down
0,81,44,16261,12993,16152,7169,4763,12539,11365,5172,Down
0,69,34,573710,222960,26945,11566,5042,18400,17009,7075,Down
0,61,37,17556,23134,14100,19671,3796,7148,7912,5067,Down
0,66,37,11190,13612,21030,4387,4824,4820,6411,13085,Down
0,53,47,4865,13046,11825,33599,6709,5926,6081,5774,Down
0,69,61,32004,17300,15867,5493,3907,13739,7909,4766,Down
0,75,63,8065,14370,21866,29756,14668,13336,7900,15812,Down
0,80,67,23253,10197,51532,6219,10548,15285,8358,2862,Down
0,88,56,5957,13071,16849,9690,16070,8704,5446,15365,Down
0,84,60,28988,14819,21078,7060,10139,11069,8740,10611,Down
